Gegenstand;Klasse(n);Gruppe;Stunden;ErgStunden;Schulstufen;LehrerIn
PG_BSP;1+2;PG_BSP_M_1_2;4;0;05,06;Lehrer01 Eva (90000001)
PG_BSP;1+2;PG_BSP_K_1_2;4;0;05,06;Lehrer02 Max (90000002) (Leitung)
PG_BSP;3+4;PG_BSP_K_3_4;3;0;07,08;Lehrer03 Tom (90000003)
PG_BSP;3+4;PG_BSP_M_3_4;3;0;07,08;Lehrer01 Eva (90000001)
PG_BUB;1;;2;0;05;Lehrer04 Anna (90000004)
PG_BUB;2;;2;0;06;Lehrer05 Sara (90000005)
PG_BUB;3;;1;0;07;Lehrer04 Anna (90000004)
PG_BUB;4;;2;0;08;Lehrer05 Sara (90000005)
PG_CH;4;;1.5;0;08;Lehrer05 Sara (90000005)
PG_D;1;;4;0;05;Lehrer06 Hans (90000006)
PG_D;1;;0;2;05;Lehrer05 Sara (90000005)
PG_D;1;;0;1;05;Lehrer07 Lisa (90000007)
PG_D;1;;0;2;05;Lehrer07 Lisa (90000007)
PG_D;2;;4;0;06;Lehrer05 Sara (90000005)
PG_D;2;;0;2;06;Lehrer06 Hans (90000006)
PG_D;3;PG_D_AHS_3;0;2;07;Lehrer01 Eva (90000001)
PG_D;3;PG_D_Stand_3;4;0;07;Lehrer07 Lisa (90000007)
PG_D;3;PG_D_AHS_3;0;1;07;Lehrer01 Eva (90000001)
PG_D;4;PG_D_Stand_4;4;0;08;Lehrer06 Hans (90000006)
PG_D;4;PG_D_AHS_4;0;1;08;Lehrer05 Sara (90000005)
PG_D;4;PG_D_AHS_4;0;2;08;Lehrer05 Sara (90000005)
PG_DGB;1;;1;0;05;Lehrer08 Nina (90000008)
PG_DGB;2;;1;0;06;Lehrer09 Bea (90000009)
PG_DGB;3;;1;0;07;Lehrer04 Anna (90000004)
PG_DGB;4;;1;0;08;Lehrer09 Bea (90000009)
PG_E;1;;0;1;05;Lehrer01 Eva (90000001)
PG_E;1;;0;2;05;Lehrer10 Dana (90000010)
PG_E;1;;4;0;05;Lehrer08 Nina (90000008)
PG_E;1;;0;2;05;Lehrer01 Eva (90000001)
PG_E;2;;4;0;06;Lehrer01 Eva (90000001)
PG_E;3;PG_E_Stand_3;4;0;07;Lehrer10 Dana (90000010)
PG_E;3;PG_E_AHS_3;0;1;07;Lehrer01 Eva (90000001)
PG_E;3;PG_E_AHS_3;0;2;07;Lehrer01 Eva (90000001)
PG_E;4;PG_E_Stand_4;4;0;08;Lehrer11 Iris (90000011)
PG_E;4;PG_E_AHS_4;0;2;08;Lehrer08 Nina (90000008)
PG_EH;2;;1;0;06;Lehrer08 Nina (90000008)
PG_EH;3;;0;1;07;Lehrer06 Hans (90000006)
PG_EH;3;;1;0;07;Lehrer08 Nina (90000008)
PG_GPB;2;;2;0;06;Lehrer11 Iris (90000011)
PG_GPB;3;;1;0;07;Lehrer06 Hans (90000006)
PG_GPB;4;;2;0;08;Lehrer11 Iris (90000011)
PG_GWB;1;;2;0;05;Lehrer07 Lisa (90000007)
PG_GWB;1;;0;1;05;Lehrer06 Hans (90000006)
PG_GWB;2;;2;0;06;Lehrer09 Bea (90000009)
PG_GWB;3;;1;0;07;Lehrer09 Bea (90000009)
PG_GWB;4;;1;0;08;Lehrer06 Hans (90000006)
PG_INF;1;;1;0;05;Lehrer06 Hans (90000006)
PG_INF;2;;1;0;06;Lehrer06 Hans (90000006)
PG_INF;3;;1;0;07;Lehrer06 Hans (90000006)
PG_INF;4;;1;0;08;Lehrer06 Hans (90000006)
PG_KGE;1;;0;2;05;Lehrer11 Iris (90000011)
PG_KGE;1;;2;0;05;Lehrer08 Nina (90000008)
PG_KGE;2;;2;0;06;Lehrer01 Eva (90000001)
PG_KGE;3;;2;0;07;Lehrer04 Anna (90000004)
PG_KGE;4;;1;0;08;Lehrer06 Hans (90000006)
PG_M;1;;0;2;05;Lehrer02 Max (90000002) (Leitung)
PG_M;1;;0;2;05;Lehrer09 Bea (90000009)
PG_M;1;;4;0;05;Lehrer11 Iris (90000011)
PG_M;1;;0;1;05;Lehrer09 Bea (90000009)
PG_M;2;;0;2;06;Lehrer11 Iris (90000011)
PG_M;2;;4;0;06;Lehrer04 Anna (90000004)
PG_M;3;PG_M_Stand_3;4;0;07;Lehrer04 Anna (90000004)
PG_M;3;PG_M_AHS_3;0;2;07;Lehrer09 Bea (90000009)
PG_M;4;PG_M_AHS_4;0;2;08;Lehrer11 Iris (90000011)
PG_M;4;PG_M_AHS_4;0;1;08;Lehrer11 Iris (90000011)
PG_M;4;PG_M_Stand_4;5;0;08;Lehrer09 Bea (90000009)
PG_M;4;PG_M_Stand_4;0;5;08;Lehrer10 Dana (90000010)
PG_MU;1;;2;0;05;Lehrer12 Mark (90000012)
PG_MU;2;;1;0;06;Lehrer10 Dana (90000010)
PG_MU;3;;1;0;07;Lehrer10 Dana (90000010)
PG_MU;4;;1;0;08;Lehrer12 Mark (90000012)
PG_PH;2;;1;0;06;Lehrer04 Anna (90000004)
PG_PH;3;;2;0;07;Lehrer04 Anna (90000004)
PG_PH;4;;1.5;0;08;Lehrer05 Sara (90000005)
PG_REL;1;PG_REL_1;2;0;05;Lehrer13 Pia (90000013)
PG_REL;1+2+3+4;PG_RIS;1;0;05,06,07,08;Lehrer14 Ali (90000014)
PG_REL;2;PG_REL_2;2;0;06;Lehrer13 Pia (90000013)
PG_REL;3;PG_REL_3;1;0;07;Lehrer13 Pia (90000013)
PG_REL;4;PG_REL_4;2;0;08;Lehrer13 Pia (90000013)
PG_TD;1;;2;0;05;Lehrer09 Bea (90000009)
PG_TD;1;;0;2;05;Lehrer05 Sara (90000005)
PG_TD;2;;0;1;06;Lehrer11 Iris (90000011)
PG_TD;2;;2;0;06;Lehrer04 Anna (90000004)
PG_TD;3;;0;2;07;Lehrer07 Lisa (90000007)
PG_TD;3;;2;0;07;Lehrer04 Anna (90000004)
PG_TD;4;;2;0;08;Lehrer09 Bea (90000009)
VÜ_BBO;3;;1;0;07;Lehrer05 Sara (90000005)
UÜ_FB;1+2+3+4;UÜ_FB;2;0;05,06,07,08;Lehrer04 Anna (90000004)
UÜ_PL;1+2+3+4;UÜ_PL;1;0;05,06,07,08;Lehrer09 Bea (90000009)
UÜ_SC;1+2+3+4;UÜ_SC;1;0;05,06,07,08;Lehrer04 Anna (90000004)
